benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",1,0,45,223.02824387857862,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",2,45,124,441.90358142494796,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",3,124,230,887.7408115600132,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",4,230,358,1301.922251550233,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",5,358,482,988.3181478524627,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",6,482,590,1046.0513459685528,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",7,590,656,559.3351854439854,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",8,656,775,1311.07576578881,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",9,775,816,334.04571364049644,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,AIC,"[45, 124, 230, 358, 482, 590, 656, 775, 816, 866]",10,816,866,528.3577522282458,7621.778799336325,3.7344688330013014,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",1,0,108,124.072462486312,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",2,108,358,678.1732780016467,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",3,358,482,176.63671771311684,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",4,482,590,401.3543061453452,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",5,590,656,191.42544730703952,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",6,656,692,95.11432705629775,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",7,692,775,516.275333999939,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",8,775,816,141.64738200961062,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",9,816,852,309.74785130299205,2713.2522973955483,4.142733125001541,1,8,9
M4,Macro,Q5109,DYNP,QRMSE,"[108, 358, 482, 590, 656, 692, 775, 816, 852, 866]",10,852,866,78.80519137324896,2713.2522973955483,4.142733125001541,1,8,9
